latitude,longitude,UVA,UVB
34.065343,-118.454243,338.894,551.677
34.065391,-118.454248,167.569,553.121
34.065364,-118.454242,98.312,534.349
34.065593,-118.454297,55.919,583.445
34.065571,-118.454265,80.944,580.557
34.065845,-118.454427,79.019,582.001
34.065605,-118.454313,55.919,582.001
34.065873,-118.454421,356.219,547.345
34.065554,-118.454242,98.269,580.557
34.06582,-118.454417,156.019,472.257
34.065622,-118.454324,354.294,563.229
34.065583,-118.454283,177.194,584.889
34.065715,-118.454384,217.619,577.594
34.065753,-118.454397,338.915,379.319
34.065641,-118.454336,186.819,619.944
34.065675,-118.45436,165.644,561.785
34.065787,-118.454401,481.344,619.944
