latitude,longitude,UVA,UVB
34.059579,-118.449161,629.569,563.229
34.059758,-118.449259,510.219,574.781
34.059314,-118.448848,377.394,580.557
34.059514,-118.449044,523.694,567.561
34.06006,-118.449514,57.844,540.125
34.059223,-118.448759,213.769,582.001
34.059504,-118.44906,635.344,558.897
34.059708,-118.449221,552.569,569.005
34.059781,-118.449272,594.919,569.005
34.059522,-118.44908,569.894,566.117
34.059734,-118.449242,579.519,567.561
34.060037,-118.449497,55.919,538.681
34.059816,-118.449312,294.619,577.669
34.059518,-118.44905,531.394,569.005
34.059409,-118.448963,508.294,571.893
34.059517,-118.449052,400.494,579.113
34.05919,-118.448729,319.644,584.889
34.059191,-118.448732,80.944,557.453
34.059291,-118.448823,80.944,584.889
34.059269,-118.448801,79.019,566.117
34.059801,-118.44929,356.219,576.225
34.059632,-118.449198,464.019,574.781
34.059205,-118.448586,55.919,532.905
34.059203,-118.448741,385.094,472.257
34.059432,-118.448984,585.294,563.229
34.059195,-118.448737,327.344,584.889
34.05962,-118.449195,498.669,577.594
34.059389,-118.448938,539.094,379.319
34.059503,-118.449036,596.844,619.944
34.059351,-118.448892,579.519,561.785
34.059833,-118.449331,79.019,472.257
34.059194,-118.448736,154.094,566.117
34.060089,-118.449541,57.844,619.944
34.059187,-118.448648,373.544,579.113
34.060071,-118.449523,55.919,532.905
34.059456,-118.449002,641.119,560.341
34.059482,-118.449022,544.869,557.453
34.059543,-118.449104,53.994,453.485
34.059245,-118.44878,53.994,573.337
34.059516,-118.449048,79.019,564.673
