latitude,longitude,UVA,UVB
34.064377,-118.450739,338.894,472.257
34.064331,-118.450705,167.569,379.319
34.063991,-118.450375,356.219,619.944
34.063598,-118.450166,173.344,621.443
34.063667,-118.45023,202.219,580.557
34.063647,-118.450214,213.769,582.001
34.063689,-118.45024,184.894,582.001
34.064016,-118.450422,356.219,547.345
34.063731,-118.450245,98.269,580.557
34.063549,-118.450101,156.019,576.225
34.064032,-118.450453,354.294,538.681
34.063627,-118.450198,177.194,582.001
34.063528,-118.450077,217.619,582.001
34.063567,-118.450124,132.919,576.225
34.06371,-118.450245,186.819,583.445
34.063583,-118.450146,165.644,584.889
34.063923,-118.450331,481.344,541.569
